income,loan_amount,credit_score,employment_status,default_label
141958,915184,328,0,1
35795,367428,776,1,0
20860,369187,617,1,0
123694,740907,544,0,0
148106,933439,571,0,0
139879,132844,739,1,0
130268,601820,538,1,0
96820,215421,676,1,0
74886,172402,565,1,0
26265,168012,658,1,0
102386,488661,639,0,0
148214,448929,688,1,0
57194,630466,876,0,0
107498,623695,302,1,0
132727,513556,728,0,0
146324,625278,441,1,0
64131,179473,675,1,0
80263,528007,623,0,0
36023,894573,445,0,1
61090,467009,592,1,0
87221,368714,731,1,0
84820,276156,884,1,0
20769,218964,698,1,0
79735,575303,643,1,0
82955,111813,439,0,0
84925,77712,486,0,0
141637,674785,360,1,0
87969,975919,679,0,0
25311,817214,739,0,0
123355,162816,618,0,0
124724,178778,601,1,0
103104,636580,643,0,0
73707,335977,310,1,0
105305,185230,361,0,0
48693,768040,525,1,0
91932,856741,452,0,1
147723,319114,863,1,0
113016,384618,870,1,0
126970,882972,883,0,0
45658,201456,874,1,0
104478,854449,609,1,0
142537,912312,542,1,0
38431,155570,792,1,0
22747,320846,665,1,0
143855,967888,629,1,0
79150,50404,406,1,0
85725,753286,525,1,0
149981,996693,517,0,0
104654,324907,805,0,0
55773,723744,558,1,0
139346,765460,816,1,0
87435,934574,353,0,1
76886,715220,346,0,1
86803,285365,820,0,0
51551,392786,398,1,0
136216,100612,319,0,0
31394,860006,872,1,0
89092,859956,789,1,0
23890,250244,718,0,0
61606,847348,361,1,0
116276,54809,444,1,0
145768,213273,515,1,0
100038,758690,302,1,1
107313,194528,459,0,0
30627,556964,419,0,1
28792,499613,388,1,0
128859,957720,628,1,0
128557,88765,879,0,0
93969,881538,656,1,0
63001,366076,566,0,0
96552,984604,622,1,0
43897,893523,840,1,0
88148,596237,494,0,0
141729,251152,631,0,0
144243,349888,469,0,0
140923,750903,820,0,0
140174,944751,762,1,0
43483,142193,339,0,0
144358,86187,836,1,0
68555,555950,560,0,0
145436,188311,694,0,0
37159,960886,525,1,1
